MANIFESTATIONS SPORTIVES 2009/2010,,,,,,,
,,,,,,,
  MANIFESTATIONS MAJEURES,,,,,,,
NB : Les nouvelles manifestations sont indiques en gras,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Mois,"Date

",Manifestations,Type,Lieux,Organisateurs,Secteur,Quartiers
janv-10,31,Finale Ligue Gar‡ons Fille Savate,,Faourette,Ligue Midi Pyr‚n‚es Savate,Rive Gauche,2.3
janv-10,31,Tournoi Foot en Salle,,Reynerie - Gymnase,Ambition Jeunesse Royal King,Ouest,6.4
janv-10,31,Tournoi Inter R‚gion Kayak Polo,,L‚o Lagrange,Cano‰ Kayak Toulousain,Centre,1.3
f‚vrier-10,3,Cross Ecole El‚mentaire,,Maourine,Ecole de la Maourine,Nord,3.4
f‚vrier-10,3,Projet Delta - Secourisme,,Piscine Bellevue,Ecole Sup‚rieure de Commerce,Sud Est,5.2
f‚vrier-10,6,Rencontre Escalade,,Mirail,PyrŠne Montagne,Ouest,6.3
f‚vrier-10,6, Championnat de France Elite A  Savate,,GIAT - Pierre Montan‚,Ligue Midi Pyr‚n‚es Savate,Ouest,6.1
f‚vrier-10,6,Championnats r‚gionaux Handisport,,Piscine Pech David,Comit‚ R‚gional Handisport,Sud Est,5.2
f‚vrier-10,6,Gala Boxe Amateur,,Faourette,Boxing Toulouse Bagatelle,Ouest,6.3
f‚vrier-10,"6 et 7

",Championnat Ligue de Combats enfants et Championnat Ligue KATAS Seniors … Poussins,,Compans,Ligue Midi Pyr‚n‚es de Karat‚,Centre,1.2
f‚vrier-10,"6 et 7

",Championnat Inter D‚partemental ensemble GR,,Cerdan,Coquelicot Toulouse Gym,Ouest,6.2
f‚vrier-10,7,Finale Championnat de France Technique Savate,,GIAT - Pierre Montan‚,Ligue Midi Pyr‚n‚es Savate,Ouest,6.1
f‚vrier-10,"7


",Troph‚e Monsieur IZARD,,Piscine L‚o Lagrange,Toulouse Olympique Palmes,Centre,1.1
f‚vrier-10,7,Championnat R‚gional Sambo,,la Faourette,Toulouse Faourette Sports,Ouest,6.3
f‚vrier-10,10,Projet Delta - Secourisme,,Piscine Bellevue,Ecole Sup‚rieure de Commerce,Sud Est,5.2
f‚vrier-10,10,Tournois R‚gionaux de Rugby … XIII,,Argoulets - Terrain,UGSEL,Est,4.2
f‚vrier-10,12,Nuit du Volley Ball,,Toulouse Lautrec - Gymnase du Lyc‚e et CollŠge,Stade Toulousain Volley Ball,Centre,3.1
f‚vrier-10,"13


","M‚dailles du T.O.A.C ""3Šmes R‚union""",,Piscine L‚o Lagrange,T.O.A.C - Natation,Centre,1.1
f‚vrier-10,13,Rencontre Escalade,,Mirail,PyrŠne Montagne,Ouest,6.3
f‚vrier-10,"13


",Championnat Inter-Club National 3,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
f‚vrier-10,14,Championnat Inter-Club R‚gionaux,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
f‚vrier-10,"20

",Comp‚titon de Boxe,,Faourette,Boxing Tlse Bagatelle,Ouest,6.3
f‚vrier-10,"21

",Tournoi de Badminton,,Puig - Gymnase,Association Toulousaine des Etudiants Mauriciens,Ouest,6.3
f‚vrier-10,21,Boxe Fran‡aise Karat‚ Kyoken Shin,,GIAT - Pierre Montan‚,Tago Gym,Ouest,6.1
f‚vrier-10,24,Tournoi de Basket,,Puig - Gymnase,Association Stagiaires et Etudiants S‚n‚galais,Ouest,6.3
f‚vrier-10,24,Confrontation entre Etudiants et Personnes du Sport Adapt‚,,Arnaune - Gymnase,IFMK H“pital Purpan,Nord,3.1
f‚vrier-10,27,12h de Sport pour Ha‹ti,,C‚piŠre,AGATE,Rive Gauche,2.3
f‚vrier-10,27 et  28,Coupe de France Sud Arts Martiaux Vietnamiens,,Compans,Comit‚ D‚partemental de Karat‚,Centre,1.2
f‚vrier-10,28,Stage R‚gional Technique,,Toulouse Lautrec - Gymnase du Lyc‚e,Comit‚ R‚gional Tae Kwon Do,Nord,3.1
mars-10,5,Loto,,Centre Socio Culturel Saint Simon,Etoile Sportive Saint Simon,Ouest,6.4
mars-10,"5, 6 et 7

",Comp‚tition Nationale Course,"*

",Piscine L‚o Lagrange,Dauphins du Toec,Centre,1.1
mars-10,"6


",Championnat Inter-Club National 3,,GIAT - Pierre Montan‚,Volant Club Toulousain,Ouest,6.1
mars-10,"6 et 7

",4Šme Tour Crit‚rium F‚d‚ral,,Cosec Mirail,Comit‚ D‚partemental Tennis de Table,Ouest,6.3
mars-10,9,Parlement du Sport - D‚veloppement durable,,Stadium - Espace Loge 1er ‚tage,Direction des Sports,Sud Est,5.3
mars-10,9,R‚union de concertation,,Daste - Gymnase,Mission GPV,Sud Est,5.3
mars-10,11 au 13,R‚ception Equipes Anglaises et Italiennes,,Complexe de l'Hers,TUC Rugby,Est,4.3
mars-10,"12,13,14",Euroligue 2 de Basket,,Compans,Toulouse Invalide Club,Centre,1.2
mars-10,13,Championnat Inter R‚gional KATA / Combat Coupe de France Jutsu, ,L‚o Lagrange,Ligue Midi Pyr‚n‚es de Karat‚,Centre,1.1
mars-10,13,IAE - Demande de Mat‚riel - Coupe de France,,INSA,IAE ( M. Blanchot),,
mars-10,13,AprŠs midi solidaire pour Ha‹ti,,Corbarieu - Terrains,Toulouse Empalot Football Club,Sud Est,5.3
mars-10,13,Loto - Demande de mat‚riel,,Daniel Faucher,SATUC Athl‚tisme,Sud Est,5.3
mars-10,13,Championnat de France Elite B Savate,,GIAT - Pierre Montan‚,Toulouse Multi Boxe,Ouest,6.1
mars-10,13 et 14,Tournoi des Pyr‚n‚es,,L‚o Lagrange - Piscine,CHOKS Hockey Subaquatique Toulouse,Centre,1.1
mars-10,13 et 14,12Šme Edition Tournoi de Printemps,,Cosec Mirail - Nouveau Gymnase,TARATRA,Ouest,6.3
mars-10,"12,13 et 14",Festival Capoiera,,"Gironis

",Capoeiragem,Ouest,6.5
mars-10,14,Boxe Fran‡aise Karat‚ Kyoken Shin,,Montane GIAT,Tago Gym,Ouest,6.1
mars-10,14,Elections R‚gionales,,L‚o Lagrange + Pierre et Marie Curie + Ernest Renan,Elections - Affaires Militaires,,
mars-10,14,Test de D‚tection,,Ile du Ramier - Kayak,P“le France Kayak,Sud Est,5.3
mars-10,16,Parlement du Sport - Fabrique Urbaine,,Stadium - Espace Loge 1er ‚tage,Direction des Sports,Sud Est,5.3
mars-10,17,Tournois Nationaux de Rugby XIII,,Argoulets - Terrains,UGSEL,Est,4.3
mars-10,20,Championnat R‚gional Seniors,,GIAT - Pierre Montan‚,Racing Club Montan‚ Toulouse,Ouest,6.1
mars-10,20,Loto,,Daste,Monsieur Toulouse - Fonds d'initiative pour les habitants,Sud Est,5.3
mars-10,20,Cr‚mation Monsieur Carnaval,,Ecole des 7 Deniers,Ecole des 7 Deniers,Nord,3.2
mars-10,20,Championnats r‚gionaux Handisport,,Piscine Pech David,Comit‚ R‚gional Handisport,Sud Est,5.2
mars-10,20,Demande de mat‚riel - Manifestation inter‚gionale.,,ASPTT,ASPTT - Tennis de Table,,
mars-10,20et 21,Tournoi Volley - Basket,,"le 20 - Cosec Mirail
le 21 - Cerdan- Basket
",Association d'Etudiants d'origine Malgache,Ouest,6.3
mars-10,"20 et 21

",Championnat National Individuel,,Piscine L‚o Lagrange,UGSEL,,
mars-10,20et 21,Championnat R‚gional Ep‚e,,"Gironis

",Club d'Escrime Toulousain,Ouest,6.5
mars-10,21,Championnat R‚gional GAM,,Cosec Rangueil,Coquelicot Toulouse Gym,Sud Est,5.2
mars-10,21,Comp‚tition Tennis de Table,,Cosec Mirail,Comit‚ D‚partemental de Tennis de Table,Ouest,6.3
